date,price,volume
2025-11-26,87533.46385277133,67956444142.18749
2025-11-26,87794.92494380343,67956444142.18749
2025-11-26,87888.58561715245,67956444142.18749
2025-11-26,87388.00383293368,67956444142.18749
2025-11-26,86805.57291021988,67956444142.18749
2025-11-26,86942.3183287508,67956444142.18749
2025-11-26,87016.31004378395,67956444142.18749
2025-11-26,86597.45451490527,67956444142.18749
2025-11-26,87032.2237573809,67956444142.18749
2025-11-26,86938.44033179866,67956444142.18749
2025-11-26,86900.39403850977,67956444142.18749
2025-11-26,87816.9620054015,67956444142.18749
2025-11-26,89679.636920768,67956444142.18749
2025-11-26,90135.4617095681,67956444142.18749
2025-11-26,89974.73440191097,67956444142.18749
2025-11-26,89892.71151639915,67956444142.18749
2025-11-26,90177.58874212035,67956444142.18749
2025-11-26,90249.96897580565,67956444142.18749
2025-11-27,90474.22677969698,69690430587.90018
2025-11-27,90443.99930725468,69690430587.90018
2025-11-27,90672.63665569115,69690430587.90018
2025-11-27,91587.21677348937,69690430587.90018
2025-11-27,91164.97533596179,69690430587.90018
2025-11-27,91263.33732195737,69690430587.90018
2025-11-27,90939.97388637412,69690430587.90018
2025-11-27,91200.42621055408,69690430587.90018
2025-11-27,91381.43807412974,69690430587.90018
2025-11-27,91478.05273667352,69690430587.90018
2025-11-27,91576.58973024273,69690430587.90018
2025-11-27,91598.34021650812,69690430587.90018
2025-11-27,91376.7077706091,69690430587.90018
2025-11-27,90987.79712414106,69690430587.90018
2025-11-27,90905.09240108743,69690430587.90018
2025-11-27,90761.6833187102,69690430587.90018
2025-11-27,90920.42601556465,69690430587.90018
2025-11-27,91459.50551449621,69690430587.90018
2025-11-27,91442.5470438727,69690430587.90018
2025-11-27,91804.82094206505,69690430587.90018
2025-11-27,91539.36768049354,69690430587.90018
2025-11-27,91485.68637120655,69690430587.90018
2025-11-27,91473.72674753252,69690430587.90018
2025-11-27,91312.76899397155,69690430587.90018
2025-11-28,91323.62827620257,59295194347.668594
2025-11-28,91132.0278089504,59295194347.668594
2025-11-28,90811.0714191063,59295194347.668594
2025-11-28,91023.52004227442,59295194347.668594
2025-11-28,91194.97100263558,59295194347.668594
2025-11-28,91427.07002902139,59295194347.668594
2025-11-28,91622.80614870525,59295194347.668594
2025-11-28,91357.40418771433,59295194347.668594
2025-11-28,90914.78541547488,59295194347.668594
2025-11-28,91586.77543014655,59295194347.668594
2025-11-28,91575.0569979346,59295194347.668594
2025-11-28,91827.76941884054,59295194347.668594
2025-11-28,91427.29692487956,59295194347.668594
2025-11-28,91501.38254936752,59295194347.668594
2025-11-28,92329.75218670673,59295194347.668594
2025-11-28,92202.8635352892,59295194347.668594
2025-11-28,92346.3518191028,59295194347.668594
2025-11-28,90916.07081958275,59295194347.668594
2025-11-28,90669.96401023648,59295194347.668594
2025-11-28,90875.03116346477,59295194347.668594
2025-11-28,91073.47626876217,59295194347.668594
2025-11-28,91214.6778806227,59295194347.668594
2025-11-28,91004.2467183952,59295194347.668594
2025-11-28,91127.20612080491,59295194347.668594
2025-11-29,90904.86767344689,62833195066.53989
2025-11-29,90915.53889060777,62833195066.53989
2025-11-29,90903.54544934392,62833195066.53989
2025-11-29,90729.94558372116,62833195066.53989
2025-11-29,90703.32205961774,62833195066.53989
2025-11-29,90832.40522733841,62833195066.53989
2025-11-29,90760.43415099659,62833195066.53989
2025-11-29,90577.3016032145,62833195066.53989
2025-11-29,90566.64547606678,62833195066.53989
2025-11-29,90656.69077727084,62833195066.53989
2025-11-29,90570.83431220289,62833195066.53989
2025-11-29,90570.90074621874,62833195066.53989
2025-11-29,90682.38876677728,62833195066.53989
2025-11-29,90643.83762875079,62833195066.53989
2025-11-29,90792.77747104311,62833195066.53989
2025-11-29,90657.75590554604,62833195066.53989
2025-11-29,91040.54640850973,62833195066.53989
2025-11-29,91010.85460130044,62833195066.53989
2025-11-29,90475.97662592627,62833195066.53989
2025-11-29,90712.0028373462,62833195066.53989
2025-11-29,90673.14817788692,62833195066.53989
2025-11-29,90947.02454728537,62833195066.53989
2025-11-29,91032.09673034618,62833195066.53989
2025-11-29,90788.7597853794,62833195066.53989
2025-11-30,90841.45258193677,39253888201.69327
2025-11-30,90869.67603539713,39253888201.69327
2025-11-30,90938.30683585707,39253888201.69327
2025-11-30,90802.75505671403,39253888201.69327
2025-11-30,90892.89987772267,39253888201.69327
2025-11-30,90858.18783526495,39253888201.69327
2025-11-30,90820.86657093189,39253888201.69327
2025-11-30,90901.61050740648,39253888201.69327
2025-11-30,90980.08369172398,39253888201.69327
2025-11-30,91245.5298446914,39253888201.69327
2025-11-30,91415.59812963865,39253888201.69327
2025-11-30,91250.35811895505,39253888201.69327
2025-11-30,91080.50963597072,39253888201.69327
2025-11-30,91435.84477550915,39253888201.69327
2025-11-30,91751.81702045338,39253888201.69327
2025-11-30,91446.98814551288,39253888201.69327
2025-11-30,91475.5890645801,39253888201.69327
2025-11-30,91814.62353308922,39253888201.69327
2025-11-30,91477.54598695686,39253888201.69327
2025-11-30,91455.11137688499,39253888201.69327
2025-11-30,91440.20549816827,39253888201.69327
2025-11-30,91314.55693607975,39253888201.69327
2025-11-30,91176.29202753108,39253888201.69327
2025-11-30,91159.28211972128,39253888201.69327
2025-12-01,90359.86873169734,40334819409.843475
2025-12-01,87107.57804601092,40334819409.843475
2025-12-01,87209.3202760441,40334819409.843475
2025-12-01,86607.95806802201,40334819409.843475
2025-12-01,86347.62398034424,40334819409.843475
2025-12-01,85788.16096067103,40334819409.843475
2025-12-01,85996.54791593562,40334819409.843475
