date,price,volume,daily_return,volatility_7d,volatility_30d,MA_7,MA_30
2025-12-11,90326.58067449176,52189659395.756485,-0.0011358630566631334,0.005134745435166702,0.0037071643447366153,90633.60314597709,91981.20391522178
2025-12-11,90297.96444701945,52189659395.756485,-0.00031680848825044183,0.005133601890641409,0.0035927545545087853,90389.72133132641,91919.22296555032
2025-12-11,90254.79657357016,52189659395.756485,-0.0004780603163498931,0.0044961075473971285,0.003562195085128245,90249.78499989174,91850.21936900998
2025-12-11,90177.630745499,52189659395.756485,-0.0008549775856872,0.0037521638460742096,0.003531264994575634,90192.0703744643,91773.31757750614
2025-12-11,90261.28377800956,52189659395.756485,0.0009276472648371836,0.0028061819126846605,0.0035459220861325134,90227.90017621689,91701.68938632534
2025-12-11,90311.07465277931,52189659395.756485,0.0005516304741710609,0.002633011421694699,0.003533013601469749,90294.08954891351,91627.65716575815
2025-12-11,90243.1997213647,52189659395.756485,-0.0007515681955460041,0.0007609981687576866,0.0035227749038422634,90267.50437039057,91549.44092304625
2025-12-11,90150.50776909872,52189659395.756485,-0.0010271350367913046,0.000741819163056868,0.00350414064632092,90242.35109819155,91464.83358734268
2025-12-11,90140.72165136607,52189659395.756485,-0.00010855310718516087,0.0007441974535500963,0.0035019403967610097,90219.88784166964,91379.49623003622
2025-12-11,89463.2323445275,52189659395.756485,-0.007515907288371482,0.0028579287919784455,0.0037025511066094644,90106.8072375207,91274.14722276824
2025-12-11,89858.098998661,52189659395.756485,0.004413731136081012,0.0035825081057444964,0.003779517229633196,90061.15984511527,91173.89853404059
2025-12-11,89798.28032192719,52189659395.756485,-0.0006657015605759931,0.0035267587413224445,0.003661094575442855,89995.01649424635,91090.43292782748
2025-12-11,89963.24823227283,52189659395.756485,0.001837094315773502,0.003636324020269579,0.003686054193145305,89945.32700560256,91019.25646410207
2025-12-11,90606.41419222065,52189659395.756485,0.007149207844154848,0.0046473052048389765,0.003956776210345874,89997.21478715343,90973.75459830929
2025-12-11,90856.50878419071,52189659395.756485,0.0027602305443794606,0.00464903987523228,0.00399215368554332,90098.07207502371,90933.43025431286
2025-12-11,91654.63656934419,52189659395.756485,0.008784486613383491,0.005408973034675571,0.0043018085417606804,90314.34563473487,90928.52753785925
2025-12-11,93042.43802644171,52189659395.756485,0.015141639409017138,0.0052673036198479725,0.005115924958299693,90825.66073215117,90965.77503810666
2025-12-11,92243.5394501412,52189659395.756485,-0.008586389106371883,0.007560750952915568,0.005353756728771261,91166.43793950549,90968.49854396973
2025-12-12,92494.17691640415,53232377699.408394,0.0027171275924253724,0.007334376667940583,0.005362569512853926,91551.56602443078,90973.00002168251
2025-12-12,92136.1782605738,53232377699.408394,-0.0038704993953717626,0.007940530592575776,0.005406640523970799,91861.98459990234,90962.43968889402
2025-12-12,92191.92871455324,53232377699.408394,0.0006050875457606075,0.007815607044553231,0.005291976712734309,92088.48667452128,90935.7723786764
2025-12-12,92584.46652311603,53232377699.408394,0.004257832697894592,0.007844127531964451,0.005291721151539307,92335.33778008203,90936.20973503521
2025-12-12,92300.73489951616,53232377699.408394,-0.0030645704863356826,0.007592096201954349,0.0053082062086336375,92427.63754153518,90933.60862857172
2025-12-12,92409.3679774134,53232377699.408394,0.0011769470526481474,0.004450184249996908,0.0053024706928504655,92337.19896310255,90929.18838572834
2025-12-12,92418.10102035834,53232377699.408394,9.450387050669029e-05,0.0029189003174388563,0.005189418376960153,92362.13633027645,90942.9538480878
2025-12-12,92520.5820421584,53232377699.408394,0.0011088847386886425,0.0027531140063428066,0.004933830242935105,92365.90849109848,90985.828219706
2025-12-12,92446.83415918204,53232377699.408394,-0.0007970970496355978,0.002217821584690325,0.0047268789394154815,92410.28790518538,91048.00158756235
2025-12-12,92265.0009989212,53232377699.408394,-0.0019668943984360032,0.002399822633409877,0.004569199565082915,92420.72680295222,91123.15244866836
2025-12-12,92391.9395663188,53232377699.408394,0.0013758041079856564,0.0017223368453688603,0.0045425942461315,92393.22295198121,91207.95879941554
2025-12-12,92414.52820402496,53232377699.408394,0.00024448710366065107,0.001215314920721889,0.004421792826131259,92409.4791383396,91274.1332071822
2025-12-12,92405.03428877179,53232377699.408394,-0.0001027318478780126,0.0011332470802300518,0.004410740801764223,92408.86003996221,91343.41499432486
2025-12-12,92396.63341482232,53232377699.408394,-9.091359593249582e-05,0.0011326691414249557,0.004409017517641734,92405.79323917137,91413.37062658496
2025-12-12,92280.6327385549,53232377699.408394,-0.0012554643170453739,0.001087142846211392,0.004418912738045225,92371.514767228,91480.89849875114
2025-12-12,92510.954770233,53232377699.408394,0.0024958870008038314,0.0015042003043531204,0.004419305180094905,92380.67485452098,91558.67596624226
2025-12-12,89947.35621835101,53232377699.408394,-0.02771129709177833,0.010708961562522115,0.006836581068372046,92049.58274301098,91548.21171425363
2025-12-12,90084.0887493541,53232377699.408394,0.001520139521067776,0.010720221925339966,0.006842016336305529,91719.88976915886,91540.6455174728
2025-12-12,90045.02162170896,53232377699.408394,-0.00043367400600380357,0.010683140427865279,0.00684115614936679,91381.38882882801,91534.03958081761
2025-12-12,90587.53931965493,53232377699.408394,0.006024960493931086,0.01125820970567097,0.0069270588420052405,91121.74669038274,91548.6072991695
2025-12-12,90195.2534824437,53232377699.408394,-0.004330461343330816,0.01120342546672064,0.006975933932184582,90807.26384290008,91550.42502687206
2025-12-12,90300.35604485389,53232377699.408394,0.0011652781976010385,0.011316874567839603,0.006830057793098483,90524.36717237136,91578.32915021628
2025-12-12,90216.45117344358,53232377699.408394,-0.0009291754217296555,0.011109861772299537,0.006789527633707605,90196.58094425859,91590.27422270905
2025-12-12,90323.07179560265,53232377699.408394,0.0011818312599560787,0.0031265323832379535,0.006790204275131745,90250.25459815167,91607.76727183156
2025-12-13,90307.26028567803,67750393558.62937,-0.0001750550508334836,0.0031089714878393872,0.00678358148265642,90282.13624619797,91619.2343402784
2025-12-13,90333.80918947668,67750393558.62937,0.0002939841571394375,0.003090210590766979,0.006653889675883119,90323.39161302193,91610.1475068536
2025-12-13,90219.70368191416,67750393558.62937,-0.0012631539463057173,0.0019031752268574556,0.006635214054976634,90270.84366477325,91588.92067011104
2025-12-13,90233.36847229167,67750393558.62937,0.00015146126422305173,0.0009423119137666867,0.006415096766863295,90276.28866332294,91541.54506687596
2025-12-13,90362.49787361179,67750393558.62937,0.0014310604104266211,0.000997947320229858,0.00571215573155589,90285.16606743123,91452.2137284483
